term,definition,source,url_source
CAMPS,Centre d’Aide Médico Psychologique,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAMS,Centres D’accueil Médico Sociaux,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CANAM,Caisse nationale d'assurance maladie des professions indépendantes,Sénat,https://www.senat.fr/histoire/sigles.html
CAMU,Capacité de MEdecine d’Urgence,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CANCAVA,Caisse autonome nationale de compensation de l'assurance vieillesse des artisans,Sénat,https://www.senat.fr/histoire/sigles.html
CAO,Commission d'Appel d'Offres,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
CANTOU,Centre D’animation Naturelle Tirée D’occupations Utiles,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAO,Conception assistée par ordinateur,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
CAP,Certificat d'aptitude professionnelle,Sénat,https://www.senat.fr/histoire/sigles.html
CAP,Commission administrative paritaire,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf
CAPA,Caisse d'amortissement pour l'acier,Sénat,https://www.senat.fr/histoire/sigles.html
CAPA,Cité de l’architecture et du patrimoine,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf
CAPEPS,Certificat d'aptitude au professorat d'éducation physique et sportive,Sénat,https://www.senat.fr/histoire/sigles.html
CAPASH,"Certificat d’Aptitude Professionnelle pour les Aides Spécialisées, les Enseignements Adaptés et la Scolarisation des élèves en situation de Handicap",L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAPD,Commission Administrative Paritaire Départementale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAPE,Certificat d’Aptitude au Professorat des Ecoles,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAPES,Certificat d'aptitude pédagogique à l'enseignement secondaire,Sénat,https://www.senat.fr/histoire/sigles.html
CAPET,Certificat d'aptitude au professorat d'enseignement technique,Sénat,https://www.senat.fr/histoire/sigles.html
CAR,Comité de l'administration régionale,Sénat,https://www.senat.fr/histoire/sigles.html
CAR,Compte Administratif Retraité,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
CAPL,Commission Administrative Paritaire Locale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAPLP2,Certificat d’Aptitude au Professorat de Lycée Professionnel 2ème grade,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAPS,Centre d’Accueil et de Permanence de Soins,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
