term,definition,source,url_source
CDHAR,Comité départemental d'habitat et d'aménagement rural.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDHR,Comité départemental d'habitat rural.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDI,Chambre D’Isolement,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CDI,Commission Départementale d’Insertion,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CDI,Contrat à durée indéterminée,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf
CDIA,Centre de documentation et d'information de l'assurance,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDIG,Comité départemental de l'information géographique,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDIG,Comité national de l'information géographique,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDIAE,Conseil Départemental d’Insertion par l’Activité Economique,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CDR,Comité de régions.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDR,Conseil d'orientation des retraites,Sénat,https://www.senat.fr/histoire/sigles.html
CDIPH,Commission des Droits et de l’Intégration des Personnes Handicapées,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CDN,Content Delivery Network,beta.gouv.fr,https://github.com/betagouv/glossary-bot
CDNPS,commission départementale de la nature des paysages et des sites,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDOA,Commission départementale d'orientation de l'agriculture,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CDOM,Conseil Départemental de l’Ordre des Médecins,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CDOP,Conseil départemental de l’ordre de Pharmaciens,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
