id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5360,TNP,Traité sur la non prolifération des armes nucléaires.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,tnptraitésurlanonproliférationdesarmesnucléaires
6364,TNS,Tribunal non saisi.,Me Thibaud Claus,"https://www.village-justice.com/articles/Liste-abreviations-pratique-penale,19516.html",,,,tnstribunalnonsaisi
5361,TNT,Télévision numérique terrestre,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tnttélévisionnumériqueterrestre
5362,TOM,Territoires d'outre-mer,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tomterritoiresdoutremer
5363,TOS,"Personnels techniciens, ouvriers et de services",Sénat,https://www.senat.fr/histoire/sigles.html,,,,tospersonnelstechniciens
5366,TP,Temps partiel,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf,,,,tptempspartiel
5367,TP,Temps Plein,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tptempsplein
5368,TP,Tribunal de police,Ministère de la Justice,http://www.justice.gouv.fr/art_pix/Stat_Annuaire_ministere-justice_sigles.pdf,,,,tptribunaldepolice
5370,TPBR,Tribunal paritaire des baux ruraux,Ministère de la Justice,http://www.justice.gouv.fr/art_pix/Stat_Annuaire_ministere-justice_sigles.pdf,,,,tpbrtribunalparitairedesbauxruraux
5369,TPE,Travaux publics de l’État,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf,,,,tpetravauxpublicsdelétat
5371,TPE,Tribunal Pour Enfants,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tpetribunalpourenfants
5372,TPE,Très Petite Entreprise,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tpetrèspetiteentreprise
6279,TPEC,Technique de Progression et d'Encadrement en Canyon,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,tpectechniquedeprogressionetdencadrementencanyon
5374,TPFA,Tribunaux permanents des forces armées,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tpfatribunauxpermanentsdesforcesarmées
5373,TPG,Trésorier payeur général,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf,,,,tpgtrésorierpayeurgénéral
5377,TPG,Trésoriers-payeurs généraux,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tpgtrésorierspayeursgénéraux
5379,TPI,Tribunal pénal international.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,tpitribunalpénalinternational
5381,TPICE,Tribunal de première instance des communautés européennes.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,tpicetribunaldepremièreinstancedescommunautéseuropéennes
5380,TPIcc,Tribunal de première instance à compétence commerciale,Ministère de la Justice,http://www.justice.gouv.fr/art_pix/Stat_Annuaire_ministere-justice_sigles.pdf,,,,tpicctribunaldepremièreinstanceàcompétencecommerciale
6280,TPJ,Traitement des Procédures Judiciaires,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,tpjtraitementdesprocéduresjudiciaires
5382,TPN,Tarif Première Nécessité (tarif Réduit Pour L’électricité),L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tpntarifpremièrenécessitétarifréduitpourlélectricité
5378,TPS,Taxe sur les prestations de services,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tpstaxesurlesprestationsdeservices
5383,TPS,Télévision par satellite,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tpstélévisionparsatellite
5385,TPU,Taxe professionnelle unique,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tputaxeprofessionnelleunique
